year,date,stage,where,team,result,goals_scored,goals_conceded
1998,10 Jun 1998 - 21:00,Group A,away,Norway,1,2,2
1998,11 Jun 1998 - 17:30,Group B,away,Chile,1,2,2
1998,11 Jun 1998 - 21:00,Group B,away,Austria,1,1,1
1998,12 Jun 1998 - 14:30,Group D,away,Bulgaria,1,0,0
1998,12 Jun 1998 - 17:30,Group C,away,Denmark,3,1,0
1998,12 Jun 1998 - 21:00,Group C,away,South Africa,0,0,3
1998,13 Jun 1998 - 14:30,Group D,away,Nigeria,3,3,2
1998,13 Jun 1998 - 17:30,Group E,away,Mexico,3,3,1
1998,13 Jun 1998 - 21:00,Group E,away,Belgium,1,0,0
1998,14 Jun 1998 - 14:30,Group H,away,Japan,0,0,1
1998,14 Jun 1998 - 17:30,Group F,away,Iran,0,0,1
1998,14 Jun 1998 - 21:00,Group H,away,Croatia,3,3,1
1998,15 Jun 1998 - 14:30,Group G,away,Tunisia,0,0,2
1998,15 Jun 1998 - 17:30,Group G,away,Colombia,0,0,1
1998,15 Jun 1998 - 21:00,Group F,away,USA,0,0,2
1998,16 Jun 1998 - 17:30,Group A,away,Norway,1,1,1
1998,16 Jun 1998 - 21:00,Group A,away,Morocco,0,0,3
1998,17 Jun 1998 - 17:30,Group B,away,Austria,1,1,1
1998,17 Jun 1998 - 21:00,Group B,away,Cameroon,0,0,3
1998,18 Jun 1998 - 17:30,Group C,away,Denmark,1,1,1
1998,18 Jun 1998 - 21:00,Group C,away,Saudi Arabia,0,0,4
1998,19 Jun 1998 - 17:30,Group D,away,Bulgaria,0,0,1
1998,19 Jun 1998 - 21:00,Group D,away,Paraguay,1,0,0
1998,20 Jun 1998 - 14:30,Group H,away,Croatia,3,1,0
1998,20 Jun 1998 - 17:30,Group E,away,Mexico,1,2,2
1998,20 Jun 1998 - 21:00,Group E,away,Korea Republic,0,0,5
1998,21 Jun 1998 - 14:30,Group F,away,Yugoslavia,1,2,2
1998,21 Jun 1998 - 17:30,Group H,away,Jamaica,0,0,5
1998,21 Jun 1998 - 21:00,Group F,away,Iran,3,2,1
1998,22 Jun 1998 - 17:30,Group G,away,Tunisia,0,0,1
1998,22 Jun 1998 - 21:00,Group G,away,England,0,1,2
1998,23 Jun 1998 - 16:00,Group B,away,Austria,0,1,2
1998,23 Jun 1998 - 16:00,Group B,away,Cameroon,1,1,1
1998,23 Jun 1998 - 21:00,Group A,away,Morocco,3,3,0
1998,23 Jun 1998 - 21:00,Group A,away,Norway,3,2,1
1998,24 Jun 1998 - 16:00,Group C,away,Denmark,0,1,2
1998,24 Jun 1998 - 16:00,Group C,away,Saudi Arabia,1,2,2
1998,24 Jun 1998 - 21:00,Group D,away,Bulgaria,0,1,6
1998,24 Jun 1998 - 21:00,Group D,away,Paraguay,3,3,1
1998,25 Jun 1998 - 16:00,Group E,away,Korea Republic,1,1,1
1998,25 Jun 1998 - 16:00,Group E,away,Mexico,1,2,2
1998,25 Jun 1998 - 21:00,Group F,away,Iran,0,0,2
1998,25 Jun 1998 - 21:00,Group F,away,Yugoslavia,3,1,0
1998,26 Jun 1998 - 16:00,Group H,away,Jamaica,3,2,1
1998,26 Jun 1998 - 16:00,Group H,away,Croatia,0,0,1
1998,26 Jun 1998 - 21:00,Group G,away,Tunisia,1,1,1
1998,26 Jun 1998 - 21:00,Group G,away,England,3,2,0
2002,31 May 2002 - 20:30,Group A,away,Senegal,3,1,0
2002,01 Jun 2002 - 18:00,Group A,away,Denmark,3,2,1
2002,01 Jun 2002 - 15:30,Group E,away,Cameroon,1,1,1
2002,01 Jun 2002 - 20:30,Group E,away,Saudi Arabia,0,0,8
2002,02 Jun 2002 - 14:30,Group F,away,Nigeria,0,0,1
2002,02 Jun 2002 - 16:30,Group B,away,South Africa,1,2,2
2002,02 Jun 2002 - 18:30,Group F,away,Sweden,1,1,1
2002,02 Jun 2002 - 20:30,Group B,away,Slovenia,0,1,3
2002,03 June 2002 - 18:00,Group C,away,Turkey,0,1,2
2002,03 Jun 2002 - 20:30,Group G,away,Ecuador,0,0,2
2002,03 Jun 2002 - 15:30,Group G,away,Mexico,3,1,0
2002,04 June 2002 - 15:30,Group C,away,Costa Rica,3,2,0
2002,04 June 2002 - 18:00,Group H,away,Belgium,1,2,2
2002,04 Jun 2002 - 20:30,Group D,away,Poland,0,0,2
2002,05 Jun 2002 - 15:30,Group H,away,Tunisia,0,0,2
2002,05 Jun 2002 - 18:00,Group D,away,Portugal,0,2,3
2002,05 Jun 2002 - 20:30,Group E,away,"rn"">Republic of Ireland",1,1,1
2002,06 Jun 2002 - 15:30,Group A,away,Senegal,1,1,1
2002,06 Jun 2002 - 18:00,Group E,away,Saudi Arabia,0,0,1
2002,06 Jun 2002 - 20:30,Group A,away,Uruguay,1,0,0
2002,07 Jun 2002 - 15:30,Group F,away,Nigeria,0,1,2
2002,07 Jun 2002 - 20:30,Group F,away,England,3,1,0
2002,07 June 2002 - 18:00,Group B,away,Paraguay,0,1,3
2002,08 Jun 2002 - 15:30,Group B,away,Slovenia,0,0,1
2002,08 Jun 2002 - 20:30,Group C,away,China PR,0,0,4
2002,08 June 2002 - 18:00,Group G,away,Croatia,3,2,1
2002,09 Jun 2002 - 18:00,Group C,away,Turkey,1,1,1
2002,09 Jun 2002 - 20:30,Group H,away,Russia,0,0,1
2002,09 Jun 2002 - 15:30,Group G,away,Ecuador,0,1,2
2002,10 Jun 2002 - 15:30,Group D,away,USA,1,1,1
2002,10 Jun 2002 - 20:30,Group D,away,Poland,0,0,4
2002,10 Jun 2002 - 18:00,Group H,away,Belgium,1,1,1
2002,11 Jun 2002 - 15:30,Group A,away,France,0,0,2
2002,11 June 2002 - 15:30,Group A,away,Uruguay,1,3,3
2002,11 Jun 2002 - 20:30,Group E,away,"rn"">Republic of Ireland",3,3,0
2002,11 Jun 2002 - 20:30,Group E,away,Germany,3,2,0
2002,12 Jun 2002 - 15:30,Group F,away,Argentina,1,1,1
2002,12 Jun 2002 - 15:30,Group F,away,England,1,0,0
2002,12 Jun 2002 - 20:30,Group B,away,Paraguay,3,3,1
2002,12 Jun 2002 - 20:30,Group B,away,Spain,3,3,2
2002,13 Jun 2002 - 15:30,Group C,away,Brazil,3,5,2
2002,13 Jun 2002 - 15:30,Group C,away,China PR,0,0,3
2002,13 Jun 2002 - 20:30,Group G,away,Croatia,0,0,1
2002,13 Jun 2002 - 20:30,Group G,away,Italy,1,1,1
2002,14 Jun 2002 - 15:30,Group H,away,Japan,3,2,0
2002,14 Jun 2002 - 20:30,Group D,away,Korea Republic,3,1,0
2002,14 Jun 2002 - 20:30,Group D,away,USA,0,1,3
2002,14 Jun 2002 - 15:30,Group H,away,Russia,0,2,3
2006,09 Jun 2006 - 18:00,Group A,away,Costa Rica,0,2,4
2006,09 Jun 2006 - 21:00,Group A,away,Ecuador,3,2,0
2006,10 Jun 2006 - 15:00,Group B,away,Paraguay,0,0,1
2006,10 Jun 2006 - 18:00,Group B,away,Sweden,1,0,0
2006,10 Jun 2006 - 21:00,Group C,away,C�te d'Ivoire,0,1,2
2006,11 Jun 2006 - 15:00,Group C,away,Netherlands,3,1,0
2006,11 Jun 2006 - 18:00,Group D,away,Iran,0,1,3
2006,11 Jun 2006 - 21:00,Group D,away,Portugal,3,1,0
2006,12 Jun 2006 - 15:00,Group F,away,Japan,0,1,3
2006,12 Jun 2006 - 18:00,Group E,away,Czech Republic,3,3,0
2006,12 Jun 2006 - 21:00,Group E,away,Ghana,0,0,2
2006,13 Jun 2006 - 15:00,Group G,away,Togo,0,1,2
2006,13 Jun 2006 - 18:00,Group G,away,Switzerland,1,0,0
2006,13 Jun 2006 - 21:00,Group F,away,Croatia,0,0,1
2006,14 Jun 2006 - 15:00,Group H,away,Ukraine,0,0,4
2006,14 Jun 2006 - 18:00,Group H,away,Saudi Arabia,1,2,2
2006,14 Jun 2006 - 21:00,Group A,away,Poland,0,0,1
2006,15 Jun 2006 - 15:00,Group A,away,Costa Rica,0,0,3
2006,15 Jun 2006 - 18:00,Group B,away,"rn"">Trinidad and Tobago",0,0,2
2006,15 Jun 2006 - 21:00,Group B,away,Paraguay,0,0,1
2006,16 Jun 2006 - 15:00,Group C,away,"rn"">Serbia and Montenegro",0,0,6
2006,16 Jun 2006 - 18:00,Group C,away,C�te d'Ivoire,0,1,2
2006,16 Jun 2006 - 21:00,Group D,away,Angola,1,0,0
2006,17 Jun 2006 - 15:00,Group D,away,IR Iran,0,0,2
2006,17 Jun 2006 - 18:00,Group E,away,Ghana,3,2,0
2006,17 Jun 2006 - 21:00,Group E,away,USA,1,1,1
2006,18 Jun 2006 - 15:00,Group F,away,Croatia,1,0,0
2006,18 Jun 2006 - 18:00,Group F,away,Australia,0,0,2
2006,18 Jun 2006 - 21:00,Group G,away,Korea Republic,1,1,1
2006,19 Jun 2006 - 15:00,Group G,away,Switzerland,3,2,0
2006,19 Jun 2006 - 18:00,Group H,away,Ukraine,3,4,0
2006,19 Jun 2006 - 21:00,Group H,away,Tunisia,0,1,3
2006,20 Jun 2006 - 16:00,Group A,away,Germany,3,3,0
2006,20 Jun 2006 - 16:00,Group A,away,Poland,3,2,1
2006,20 Jun 2006 - 21:00,Group B,away,England,1,2,2
2006,20 Jun 2006 - 21:00,Group B,away,"rn"">Trinidad and Tobago",0,0,2
2006,21 Jun 2006 - 16:00,Group D,away,Angola,1,1,1
2006,21 Jun 2006 - 16:00,Group D,away,Mexico,0,1,2
2006,21 Jun 2006 - 21:00,Group C,away,Argentina,1,0,0
2006,21 Jun 2006 - 21:00,Group C,away,"rn"">Serbia and Montenegro",0,2,3
2006,22 Jun 2006 - 16:00,Group E,away,Italy,3,2,0
2006,22 Jun 2006 - 16:00,Group E,away,USA,0,1,2
2006,22 Jun 2006 - 21:00,Group F,away,Brazil,3,4,1
2006,22 Jun 2006 - 21:00,Group F,away,Australia,1,2,2
2006,23 Jun 2006 - 16:00,Group H,away,Tunisia,0,0,1
2006,23 Jun 2006 - 16:00,Group H,away,Spain,3,1,0
2006,23 Jun 2006 - 21:00,Group G,away,France,3,2,0
2006,23 Jun 2006 - 21:00,Group G,away,Korea Republic,0,0,2
2010,11 Jun 2010 - 16:00,Group A,away,Mexico,1,1,1
2010,11 Jun 2010 - 20:30,Group A,away,France,1,0,0
2010,12 Jun 2010 - 13:30,Group B,away,Greece,0,0,2
2010,12 Jun 2010 - 16:00,Group B,away,Nigeria,0,0,1
2010,12 Jun 2010 - 20:30,Group C,away,USA,1,1,1
2010,13 Jun 2010 - 13:30,Group C,away,Slovenia,3,1,0
2010,13 Jun 2010 - 16:00,Group D,away,Ghana,3,1,0
2010,13 Jun 2010 - 20:30,Group D,away,Australia,0,0,4
2010,14 Jun 2010 - 13:30,Group E,away,Denmark,0,0,2
2010,14 Jun 2010 - 16:00,Group E,away,Cameroon,0,0,1
2010,14 Jun 2010 - 20:30,Group F,away,Paraguay,1,1,1
2010,15 Jun 2010 - 13:30,Group F,away,Slovakia,1,1,1
2010,15 Jun 2010 - 16:00,Group G,away,Portugal,1,0,0
2010,15 Jun 2010 - 20:30,Group G,away,Korea DPR,0,1,2
2010,16 Jun 2010 - 13:30,Group H,away,Chile,3,1,0
2010,16 Jun 2010 - 16:00,Group H,away,Switzerland,3,1,0
2010,16 Jun 2010 - 20:30,Group A,away,Uruguay,3,3,0
2010,17 Jun 2010 - 13:30,Group B,away,Korea Republic,0,1,4
2010,17 Jun 2010 - 16:00,Group B,away,Nigeria,0,1,2
2010,17 Jun 2010 - 20:30,Group A,away,Mexico,3,2,0
2010,18 Jun 2010 - 13:30,Group D,away,Serbia,3,1,0
2010,18 Jun 2010 - 16:00,Group C,away,USA,1,2,2
2010,18 Jun 2010 - 20:30,Group C,away,Algeria,1,0,0
2010,19 Jun 2010 - 13:30,Group E,away,Japan,0,0,1
2010,19 Jun 2010 - 16:00,Group D,away,Australia,1,1,1
2010,19 Jun 2010 - 20:30,Group E,away,Denmark,3,2,1
2010,20 Jun 2010 - 13:30,Group F,away,Paraguay,3,2,0
2010,20 Jun 2010 - 16:00,Group F,away,New Zealand,1,1,1
2010,20 Jun 2010 - 20:30,Group G,away,C�te d'Ivoire,0,1,3
2010,21 Jun 2010 - 13:30,Group G,away,Korea DPR,0,0,7
2010,21 Jun 2010 - 16:00,Group H,away,Switzerland,0,0,1
2010,21 Jun 2010 - 20:30,Group H,away,Honduras,0,0,2
2010,22 Jun 2010 - 16:00,Group A,away,Uruguay,3,1,0
2010,22 Jun 2010 - 16:00,Group A,away,South Africa,3,2,1
2010,22 Jun 2010 - 20:30,Group B,away,Korea Republic,1,2,2
2010,22 Jun 2010 - 20:30,Group B,away,Argentina,3,2,0
2010,23 Jun 2010 - 16:00,Group C,away,England,3,1,0
2010,23 Jun 2010 - 16:00,Group C,away,Algeria,0,0,1
2010,23 Jun 2010 - 20:30,Group D,away,Germany,3,1,0
2010,23 Jun 2010 - 20:30,Group D,away,Serbia,0,1,2
2010,24 Jun 2010 - 16:00,Group F,away,Italy,0,2,3
2010,24 Jun 2010 - 16:00,Group F,away,New Zealand,1,0,0
2010,24 Jun 2010 - 20:30,Group E,away,Japan,3,3,1
2010,24 Jun 2010 - 20:30,Group E,away,Netherlands,3,2,1
2010,25 Jun 2010 - 16:00,Group G,away,Brazil,1,0,0
2010,25 Jun 2010 - 16:00,Group G,away,C�te d'Ivoire,3,3,0
2010,25 Jun 2010 - 20:30,Group H,away,Spain,3,2,1
2010,25 Jun 2010 - 20:30,Group H,away,Honduras,1,0,0
2014,12 Jun 2014 - 17:00,Group A,away,Croatia,0,1,3
2014,13 Jun 2014 - 13:00,Group A,away,Cameroon,0,0,1
2014,13 Jun 2014 - 16:00,Group B,away,Netherlands,3,5,1
2014,13 Jun 2014 - 18:00,Group B,away,Australia,0,1,3
2014,14 Jun 2014 - 13:00,Group C,away,Greece,0,0,3
2014,14 Jun 2014 - 16:00,Group D,away,Costa Rica,3,3,1
2014,14 Jun 2014 - 18:00,Group D,away,Italy,3,2,1
2014,14 Jun 2014 - 22:00,Group C,away,Japan,0,1,2
2014,15 Jun 2014 - 13:00,Group E,away,Ecuador,0,1,2
2014,15 Jun 2014 - 16:00,Group E,away,Honduras,0,0,3
2014,15 Jun 2014 - 19:00,Group F,away,"rn"">Bosnia and Herzegovina",0,1,2
2014,16 Jun 2014 - 13:00,Group G,away,Portugal,0,0,4
2014,16 Jun 2014 - 16:00,Group F,away,Nigeria,1,0,0
2014,16 Jun 2014 - 19:00,Group G,away,USA,3,2,1
2014,17 Jun 2014 - 13:00,Group H,away,Algeria,0,1,2
2014,17 Jun 2014 - 16:00,Group A,away,Mexico,1,0,0
2014,17 Jun 2014 - 18:00,Group H,away,Korea Republic,1,1,1
2014,18 Jun 2014 - 13:00,Group B,away,Netherlands,3,3,2
2014,18 Jun 2014 - 16:00,Group B,away,Chile,3,2,0
2014,18 Jun 2014 - 18:00,Group A,away,Croatia,3,4,0
2014,19 Jun 2014 - 13:00,Group C,away,C�te d'Ivoire,0,1,2
2014,19 Jun 2014 - 16:00,Group D,away,England,0,1,2
2014,19 Jun 2014 - 19:00,Group C,away,Greece,1,0,0
2014,20 Jun 2014 - 13:00,Group D,away,Costa Rica,3,1,0
2014,20 Jun 2014 - 16:00,Group E,away,France,3,5,2
2014,20 Jun 2014 - 19:00,Group E,away,Ecuador,3,2,1
2014,21 Jun 2014 - 13:00,Group F,away,IR Iran,0,0,1
2014,21 Jun 2014 - 16:00,Group G,away,Ghana,1,2,2
2014,21 Jun 2014 - 18:00,Group F,away,"rn"">Bosnia and Herzegovina",0,0,1
2014,22 Jun 2014 - 13:00,Group H,away,Russia,0,0,1
2014,22 Jun 2014 - 16:00,Group H,away,Algeria,3,4,2
2014,22 Jun 2014 - 18:00,Group G,away,Portugal,1,2,2
2014,23 Jun 2014 - 13:00,Group B,away,Spain,3,3,0
2014,23 Jun 2014 - 13:00,Group B,away,Chile,0,0,2
2014,23 Jun 2014 - 17:00,Group A,away,Brazil,3,4,1
2014,23 Jun 2014 - 17:00,Group A,away,Mexico,3,3,1
2014,24 Jun 2014 - 13:00,Group D,away,Uruguay,3,1,0
2014,24 Jun 2014 - 13:00,Group D,away,England,1,0,0
2014,24 Jun 2014 - 16:00,Group C,away,Colombia,3,4,1
2014,24 Jun 2014 - 17:00,Group C,away,C�te d'Ivoire,0,1,2
2014,25 Jun 2014 - 13:00,Group F,away,Argentina,3,3,2
2014,25 Jun 2014 - 13:00,Group F,away,IR Iran,0,1,3
2014,25 Jun 2014 - 16:00,Group E,away,Switzerland,3,3,0
2014,25 Jun 2014 - 17:00,Group E,away,France,1,0,0
2014,26 Jun 2014 - 13:00,Group G,away,Germany,3,1,0
2014,26 Jun 2014 - 13:00,Group G,away,Ghana,0,1,2
2014,26 Jun 2014 - 17:00,Group H,away,Belgium,3,1,0
2014,26 Jun 2014 - 17:00,Group H,away,Russia,1,1,1
